Address,Weight,Percentage
0x794783dcfcac8c1944727057a3208d8f8bb91506,444411,0.01610431773
0x1f00b89f92990b8b3a1708a59e11397dc5af0364,436128,0.015804163
0xe5350e927b904fdb4d2af55c566e269bb3df1941,411424,0.01490895324
0x57d7e9853072ddf1e288fa4d7ee52412bfbb8347,403486,0.01462130042
0xd5bb24152217bea7a617525ddfa64ea3b41b9c0a,346788,0.01256670995
0x5a529aab8c082fc535280be71050b9a6b7c88373,338000,0.01224825531
0x31d3fa1131e80cf187faf89b0ff69ece2720176b,331747,0.01202166259
0xdb29ec3fb265a03943bfedbdf4ee9d9867b368e8,329056,0.01192414763
0x617d08085f68070f00fe4945c1e57013f7600b12,325728,0.01180354943
0xea125e2e69bcea66942ae1824b4eb6822c278f50,325000,0.01177716857
0x9636842fb5b6c46a7b5d6ce8bf61b4ff6248926c,318500,0.0115416252
0x54dec492c2fdb485f8e8e2add1ebc3a4b614f54f,310000,0.01123360694
0xccf6c29d87eb2c0bafede74f5df35f84541f4549,309544,0.01121708267
0x09cf50574504d9dcf127e848a6058e8e0bb814aa,303368,0.01099328023
0x260d2a30680062e7c0231311c6b46616c841c712,296546,0.0107460684
0xd71fa85cfba365b1c9ff9d0af229d0a3db03f070,295757,0.01071747706
0x058de0bd43d02f06addfdb0390cff26a45f7d4af,287502,0.01041833698
0xf14ed610543c877f73626749afcf29d24a33ff0e,287500,0.0104182645
0xb8bd8f4c420ada4d999f2619503d5aaa139ed7c2,284388,0.01030549359
0x60a2d9981154c54b8362e959ba37f5db2e24e950,273000,0.009892821598
0x5c91c5d4d94801298ba5a47b63d6e0b5fc5200f1,269711,0.009773636652
0x0b9bdb591c62b8aa65aaf1688eebd8d7ea1a1c53,266974,0.009674454774
0x4621867fc6fda09eafd90aaf5fe56ac75dd936d9,266085,0.009642239689
0x61fdff48d154c6079e43cbf14027057b367cb3b2,265668,0.009627128675
0x59b40b338eb5958b130a0331bb5877266a8df9f8,261469,0.009474967658
0x116e91d0dceb6e3efc2e06918c9e85417b3a7008,254178,0.00921076047
0xd76f1c2764a5f22548713cde767b5b752170d6d7,252333,0.00914390239
0xfe51263bd0d075dc5441e89ecd1f6d63ff41e02e,250328,0.009071246319
0x8e5a521a7897574e0e4fb1d80b7951802985b2e2,245000,0.008878173229
0xb0fa55b366676bb1962c70fa66b10aa48c04a304,233987,0.008479090283
0x161b6976dc49155dbb7c56195736395a23e4a57b,225967,0.008188466
0x39415255619783a2e71fcf7d8f708a951d92e1b6,219856,0.007967018994
0xebc48e8db0d9203db04512ec4a8030cf2a43c384,218880,0.007931651251
0x7baf965eca4afff0f9c92fd26ce8e0447e30b86f,215168,0.007797137867
0x77cad933774fcb8f66c6fb34a382e15bb88857fe,212057,0.007684403186
0x138ba9b9143eb6e8ffc9aa1a89d8bec5aa1d2a7d,210969,0.007644976849
0x2a48d3be1b3603af83ff5f72df5b14b8cfd37164,200673,0.007271876149
0x78be8dd29b176c43dfd10eb40d98ff5e88851ee6,193554,0.007013901801
0x284b3e3b630a3371693c988f21be147ff60c9411,191745,0.006948348269
0xc20238592961060f2ed79ed951dfe107e20330b5,185269,0.006713674596
0xbfc8780e3a5fe21c5e206b769c8d4aa96cddc5bd,182000,0.006595214399
0x6dc36ccbdcdd8b863ed7ddecf621e9e0d2deed28,180000,0.006522739515
0x1908a3232eed9186b4a5b666075711d2db0200e5,174811,0.00633470343
0x9c02ac8a9e766a6e4f6987f5ea6aa91d70e932b9,162633,0.005893403865
0x8a8e9730646efd1e57453054f1a6366897d7cb1c,161340,0.005846548852
0xdeccf3122d665f0e912bac602f0e28c0ae0ea8d2,160690,0.005822994515
0xe116d5f4ccd817e93a4827b4b1166fb3fa61bec5,157165,0.005695257533
0xecaa7767e6e024df40d5fcd283cdab33af2a5ae7,153721,0.005570455784
0x23cef0b3fa3f1754f6f32cc113acdd639edea8ed,152833,0.005538276935
0x834d721cabe2f4b7a67bf81c49d322f792de50a6,146920,0.005324004942
0xbdec1290937fd0fb31ec91b4d908e5204e8b8d6c,143750,0.005209132252
0xc62eecc24cb6e84da2409e945ddcf7386118c57a,141703,0.005134954209
0xec180fb79657bcecae7515f44030666db500ace1,138667,0.005024937335
0x0ad59c344359fdf8472e7ffbf4eb6af4751138da,134452,0.004872196518
0x1d5e65a087ebc3d03a294412e46ce5d6882969f4,130755,0.004738226696
0x89f40ca416df2cb2fda79c3f5d9338e87cab0600,130488,0.004728551299
0x98bbfca15f8cc112fb754a44d0d88bbc36ade87e,128440,0.004654337019
0x4ffcc0a7ced9d63d4cafe3bc4d7d60d6b870213f,126762,0.004593530591
0xbf9fbaa5c5a4b9455dceb1cbca57d444703bc867,124170,0.004499603142
0xd2dcae2b4e6dc5e9fb1d896089741073100f70e3,121020,0.004385455201
0xc4a8bbbc739b1d0bba77053c4f0c56c7f6d0b89c,118624,0.00429863029
0x38f2944e482a050942e5fb1652af4690017cd141,115000,0.004167305802
0xe46d5aec26b4ce9218b937631e3a7456c79880fe,111848,0.004053085385
0x0feb0f31d67adbbc950ac0c5266490a9a9735a49,109746,0.003976914283
0xb71d05cf5cdf7a9b15b20b9aab5e91332c271c96,105575,0.003825767913
0x062e60d2d5d97547546a8856db00e72fb6a705e6,102000,0.003696219059
0x0940e30c906e23dedc6acdf63b9ef5dee65621f9,99216,0.003595334021
0x122402da2732ae0ee568f8c0d64d2d9984710e2a,97776,0.003543152105
0x1a7988d9868b0efe557f98c38a6ab244ebbb05bb,97512,0.00353358542
0x4ee152edae94f156a064e0c0983f6910884a4dc7,97240,0.003523728836
0x52e735066180554bd787bdca70232bff97444fa4,93528,0.003389215452
0x2ae9c12d8356f11d1be6c4e91fe64c10783d42e5,92000,0.003333844641
0x9f04506fec87f209de7feb3797639da931888888,91747,0.003324676568
0x6eb0534cce36ae59165b5070a2c3f0a4cdeee7be,89110,0.003229118435
0xdc5ad17a7b8da976cc4a9b2b266f72fbc711b849,88556,0.003209042892
0x62b88fdf96decb20dac288823a28713347340b97,85874,0.003111854073
0x660c222155f84265e7575d1311b430f075b66968,84583,0.003065071536
0xf47fd47c6241efd6e5a6c03be3fe3f8e45f0325b,84502,0.003062136303
0xde94a1bf2760fbc6502a3cb578bcacc16e37b1f2,84183,0.003050576559
0xc04a5451caa72d9784a1bd494cf2444aa6a1d42a,82001,0.002971506461
0x5d70c0189c8d71563f5e4157c53ac396dcd5a370,80773,0.002927006883
0x19ae3cf684087e2cb9cc2dd2b58c29f79f4e9d02,80362,0.002912113294
0x1e0cabef79e70ddaca8859e9a33b306de1a368f9,79589,0.002884101752
0x3e383b90eb74bb2f10636e80e158294fc1ff0c42,78740,0.002853336164
0x661f3573806009037796537e7e0825e242c5c8ed,78000,0.002826520457
0xc98a20b1c98456178cf627e1e23af4e05128b15a,76830,0.00278412265
0xafd1f220217c37ea11baa5f5d2ad37f9ad3dffc7,76000,0.002754045573
0x3addd5a240c77f7556f407de03e52c33ff4c4304,75114,0.0027219392
0xd2fa05f18984b7bfeb905643c1e23af20b4686db,74777,0.002709727182
0x77047506fd74f1f9fea740298cce6c189be21032,73008,0.002645623147
